дата,время_МСК,монета,тип,stage,сила_score,цена_входа,движение_max_4ч_%,направление,change_4h_%,исход,график_MEXC_TV
2026-05-19,11:32,ONTUSDT,pump,🔴 СКВИЗ SETUP,75,0.06447,8.1,↑,1.3,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AONTUSDT.P
2026-05-19,11:32,ONTUSDT,pump,🔴 СКВИЗ SETUP,90,0.06446,8.1,↑,1.32,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AONTUSDT.P
2026-05-19,11:51,RONINUSDT,pump,🔴 СКВИЗ SETUP,50,0.11603,9.9,↑,3.83,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ARONINUSDT.P
2026-05-19,11:51,RONINUSDT,pump,🔴 СКВИЗ SETUP,65,0.11575,10.2,↑,4.08,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ARONINUSDT.P
2026-05-19,16:02,AIGENSYNUSDT,pump,🔴 СКВИЗ SETUP,110,0.03571,3.8,↓,-1.79,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AAIGENSYNUSDT.P
2026-05-19,18:27,MLNUSDT,pump,🔴 СКВИЗ SETUP,65,2.315,6.3,↓,-5.31,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AMLNUSDT.P
2026-05-19,18:29,ENJUSDT,pump,🔴 СКВИЗ SETUP,65,0.04784,4.6,↑,2.04,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AENJUSDT.P
2026-05-20,00:56,JTOUSDT,pump,🔴 СКВИЗ SETUP,50,0.5386,4.9,↓,1.78,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AJTOUSDT.P
2026-05-20,07:33,IRYSUSDT,pump,🔴 СКВИЗ SETUP,60,0.035811,8.1,↑,4.07,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AIRYSUSDT.P
2026-05-20,08:00,FOGOUSDT,pump,🔴 СКВИЗ SETUP,70,0.0155,9.9,↑,6.71,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AFOGOUSDT.P
2026-05-20,09:00,FIDAUSDT,pump,🔴 СКВИЗ SETUP,65,0.026517,7.6,↓,-3.19,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AFIDAUSDT.P
2026-05-20,09:05,PROMPTUSDT,pump,🔴 СКВИЗ SETUP,50,0.04255,7.1,↓,-0.82,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APROMPTUSDT.P
2026-05-20,13:32,DASHUSDT,pump,🔴 СКВИЗ SETUP,65,47.25,5.3,↑,3.72,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADASHUSDT.P
2026-05-20,13:58,CHIPUSDT,pump,🔴 СКВИЗ SETUP,53,0.05172,4.6,↑,1.08,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACHIPUSDT.P
2026-05-21,13:38,PROVEUSDT,pump,🔴 СКВИЗ SETUP,50,0.3539,9.6,↓,-7.91,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APROVEUSDT.P
2026-05-21,13:45,ALTUSDT,pump,🔴 СКВИЗ SETUP,80,0.007404,3.1,↓,-2.03,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AALTUSDT.P
2026-05-21,14:47,FIDAUSDT,pump,🔴 СКВИЗ SETUP,75,0.035657,34.3,↑,29.08,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3AFIDAUSDT.P
2026-05-21,16:46,PENDLEUSDT,pump,🔴 СКВИЗ SETUP,65,1.8283,4.0,↑,3.43,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3APENDLEUSDT.P
2026-05-21,16:57,CHIPUSDT,pump,🔴 СКВИЗ SETUP,83,0.04876,2.0,↑,1.39,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACHIPUSDT.P
2026-05-21,17:30,ALGOUSDT,pump,🔴 СКВИЗ SETUP,75,0.11483,2.1,↑,1.57,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AALGOUSDT.P
2026-05-21,18:21,BLENDUSDT,pump,🔴 СКВИЗ SETUP,65,0.1055,1.2,↑,0.19,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABLENDUSDT.P
2026-05-22,00:25,BOBBOBUSDT,pump,🔴 СКВИЗ SETUP,60,0.010608,14.0,↓,-9.84,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABOBBOBUSDT.P
2026-05-22,11:56,ALTUSDT,pump,🔴 СКВИЗ SETUP,100,0.009888,10.5,↑,-2.09,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AALTUSDT.P
2026-05-22,12:46,10000NEXUSDT,pump,🔴 СКВИЗ SETUP,45,0.04666,7.9,↓,-3.6,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3A10000NEXUSDT.P
2026-05-22,23:03,10000NEXUSDT,pump,🔴 СКВИЗ SETUP,60,0.043,10.0,↓,1.51,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3A10000NEXUSDT.P
2026-05-23,08:20,BEATUSDT,rug_prep,📉 CVD BEAR DIV,60,1.2916,11.9,↑,-4.05,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ABEATUSDT.P
2026-05-23,08:42,ALTUSDT,rug_prep,📉 CVD BEAR DIV,60,0.007793,14.8,↓,2.96,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AALTUSDT.P
2026-05-23,08:49,EDENUSDT,rug_prep,📉 CVD BEAR DIV,80,0.09712,7.2,↑,0.0,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AEDENUSDT.P
2026-05-23,08:51,PLUMEUSDT,rug_prep,📉 CVD BEAR DIV,60,0.013108,5.2,↑,-2.92,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3APLUMEUSDT.P
2026-05-23,08:53,VIRTUALUSDT,rug_prep,📉 CVD BEAR DIV,50,0.713,4.9,↑,-1.96,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AVIRTUALUSDT.P
2026-05-24,01:27,SUPERUSDT,pump,🔴 СКВИЗ SETUP,70,0.13103,6.3,↓,-5.06,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ASUPERUSDT.P
2026-05-25,13:44,BILLUSDT,rug_prep,📉 CVD BEAR DIV,60,0.11768,12.1,↑,-11.67,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABILLUSDT.P
2026-05-25,13:47,DRIFTUSDT,pump,🔴 СКВИЗ SETUP,95,0.0337,8.8,↑,0.65,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADRIFTUSDT.P
2026-05-25,14:03,EIGENUSDT,rug_prep,📉 CVD BEAR DIV,60,0.22987,11.9,↓,11.38,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AEIGENUSDT.P
2026-05-25,17:20,PLAYSOUTUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,90,0.10689,8.8,↓,-3.68,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APLAYSOUTUSDT.P
2026-05-26,13:57,DRIFTUSDT,pump,🔴 СКВИЗ SETUP,75,0.04396,21.8,↓,-6.21,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ADRIFTUSDT.P
2026-05-26,14:22,WLDUSDT,pump,🔴 СКВИЗ SETUP,110,0.3918,5.6,↑,1.25,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AWLDUSDT.P
2026-05-26,14:48,DRIFTUSDT,pump,🔴 СКВИЗ SETUP,85,0.04572,24.8,↓,-8.38,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ADRIFTUSDT.P
2026-05-26,16:30,XLMUSDT,rug_prep,📉 CVD BEAR DIV,50,0.14923,1.9,↑,-1.07,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXLMUSDT.P
2026-05-26,17:03,XMRUSDT,rug_prep,📉 CVD BEAR DIV,75,388.22,2.3,↑,-2.02,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXMRUSDT.P
2026-05-27,03:38,ESPORTSUSDT,pump,🔴 СКВИЗ SETUP,93,0.04706,16.6,↓,-16.04,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AESPORTSUSDT.P
2026-05-27,04:38,DRIFTUSDT,pump,🔴 СКВИЗ SETUP,90,0.04473,18.0,↓,-16.77,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ADRIFTUSDT.P
2026-05-29,08:31,ESPORTSUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,72,0.04661,18.0,↑,-5.64,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3AESPORTSUSDT.P
2026-05-29,19:11,IDUSDT,pump,🔴 СКВИЗ SETUP,100,0.03731,6.9,↓,-4.15,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AIDUSDT.P
2026-05-31,01:07,ZORAUSDT,pump,🔴 СКВИЗ SETUP,80,0.011607,8.7,↑,-3.21,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AZORAUSDT.P
2026-06-01,01:41,PLAYSOUTUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,70,0.12925,7.0,↑,-1.66,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APLAYSOUTUSDT.P
2026-06-01,06:07,PLAYSOUTUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,90,0.12876,15.7,↓,-2.3,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APLAYSOUTUSDT.P
2026-06-01,17:20,XLMUSDT,rug_prep,📉 CVD BEAR DIV,65,0.25318,3.6,↑,0.7,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXLMUSDT.P
2026-06-02,03:06,UBUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,75,0.1901,3.5,↓,-1.91,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AUBUSDT.P
2026-06-02,12:02,SUIUSDT,rug_prep,📉 CVD BEAR DIV,65,0.8441,1.0,↑,0.3,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ASUIUSDT.P
2026-06-02,18:01,MYXUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,90,0.3462,3.0,↓,0.78,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AMYXUSDT.P
2026-06-07,11:49,AMATUSDT,pump,🔴 СКВИЗ SETUP,65,450.65,0.9,↓,-0.49,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAMATUSDT.P
2026-06-08,13:08,BEATUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,85,4.1894,10.8,↓,-1.75,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABEATUSDT.P
2026-06-08,14:48,ZECUSDT,rug_prep,📉 CVD BEAR DIV,65,432.58,5.5,↓,2.86,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AZECUSDT.P
2026-06-08,14:48,TIAUSDT,rug_prep,📉 CVD BEAR DIV,65,0.3217,1.5,↓,0.37,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ATIAUSDT.P
2026-06-09,01:57,WIFUSDT,rug_prep,📉 CVD BEAR DIV,65,0.15436,2.0,↑,-1.66,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AWIFUSDT.P
2026-06-09,09:04,ESPORTSUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,100,0.07606,15.9,↓,11.0,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AESPORTSUSDT.P
2026-06-10,03:01,SENTUSDT,rug_prep,📉 CVD BEAR DIV,65,0.015934,9.3,↓,-3.08,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ASENTUSDT.P
