window_id,symbol,start_ms,label,split,dump_type,pct_chg,vol_ratio_1h,vol_spike_count,price_momentum_4h,cvd_divergence,upper_wick_ratio,support_break,vol_trend_slope,hour_of_day,oi_chg_4h,funding_rate,long_liq_ratio_4h,btc_regime
c_4523,PENGUUSDT,1755878400000,0,train,control,,7.0627481765476645,4,12.9088942957556,0,0.47368421052631704,0,0.5445750862533961,16,0.1170661094597434,2.654e-05,0.5,1
c_4524,PENGUUSDT,1761328800000,0,train,control,,0.7812504728681838,1,-2.324024483550116,0,0.7044534412955468,0,0.060226427430284175,18,0.013211014342571811,-0.00012944,0.5,0
c_4525,PENGUUSDT,1734829200000,0,train,control,,1.0012574067622082,0,-4.567587956930251,0,0.0,1,-0.07684186560870453,1,-0.02180777597169766,5e-05,0.5,0
c_4526,PENGUUSDT,1741100400000,0,train,control,,2.143194084744876,1,-1.5618027666220446,0,0.6611570247933893,0,0.06342193185952931,15,-0.03216543160515895,-4.32e-05,0.5,-1
c_4527,PENGUUSDT,1748440800000,0,train,control,,1.3603556987395733,0,-0.7178178337852911,0,0.015267175572521106,1,-0.01305469945345515,14,-0.011218334992797336,-4.57e-06,0.5,-1
c_4528,PENGUUSDT,1754319600000,0,train,control,,2.1766561370609634,1,2.2112604184385183,1,0.2568555758683703,0,0.08792334101068984,15,-0.012651143126115842,-0.00025476,0.5,0
c_4529,PENGUUSDT,1761868800000,0,train,control,,0.451426717472537,0,3.9131164977887156,1,0.10043668122271696,0,-0.06721463289750958,0,-0.04665302976122755,-0.00026822,0.5,-1
c_4530,PENGUUSDT,1734793200000,0,train,control,,1.2120505168160782,0,-3.321388280576023,0,0.295321637426902,1,0.012110953806025036,15,-0.06216675771686137,5e-05,0.5,1
c_4531,PENGUUSDT,1742983200000,0,train,control,,2.034385540265854,1,0.45852438516048416,1,0.12087912087912271,0,0.09319375792761513,10,-0.03816732987263248,5e-05,0.5,0
c_4532,PENGUUSDT,1748502000000,0,train,control,,0.35253106096197323,0,-2.0379146919431244,0,0.30769230769231537,0,-0.03146991987693011,7,0.004958676402375126,2.975e-05,0.5,0
c_4533,PENGUUSDT,1755590400000,0,train,control,,0.8767141103191931,1,0.5827055566286801,0,0.2572062084257183,0,0.06400714206911856,8,0.02073090359086706,-0.00014227,0.5,0
c_4534,PENGUUSDT,1761868800000,0,train,control,,0.451426717472537,0,3.9131164977887156,1,0.10043668122271696,0,-0.06721463289750958,0,-0.04665302976122755,-0.00026822,0.5,-1
c_4535,PENGUUSDT,1734829200000,0,train,control,,1.0012574067622082,0,-4.567587956930251,0,0.0,1,-0.07684186560870453,1,-0.02180777597169766,5e-05,0.5,0
c_4536,PENGUUSDT,1741557600000,0,train,control,,1.2431178709815236,1,1.6604477611940238,0,0.2500000000000026,0,-0.0032342836761551086,22,-0.04072314708060115,-6.461e-05,0.5,-1
c_4537,PENGUUSDT,1747908000000,0,train,control,,0.8076383526603134,0,5.214478188041655,1,0.4968152866242034,0,0.027710922581672248,10,0.06767212548091296,5e-05,0.5,1
c_4538,PENGUUSDT,1754794800000,0,train,control,,1.016916639831864,0,-0.5293191148751499,0,0.6612339930151365,0,0.011703673992859504,3,-0.021866126644603332,5e-05,0.5,0
c_4539,PENGUUSDT,1760662800000,0,train,control,,0.505278706201035,0,1.8129946622492108,1,0.32727272727272644,0,-0.14874471913862325,1,-0.03953288789105536,-0.0001435,0.5,-1
c_4540,PENGUUSDT,1734537600000,0,train,control,,1.016989194856126,0,2.042985356636745,0,0.07052561543579632,0,0.04902998995650247,16,-0.13299916466488945,9.652e-05,0.5,-1
c_4541,PENGUUSDT,1742626800000,0,train,control,,1.0240486396447528,0,0.7800063673989106,1,0.6063829787234052,0,-0.052446890148505766,7,0.028588981384428593,5e-05,0.5,0
c_4542,PENGUUSDT,1749848400000,0,train,control,,0.4997782602004295,0,-0.9450259120008236,0,0.43939393939394017,0,-0.047329718553901536,21,-0.018642351665341818,-0.00010534,0.5,0
c_4543,PENGUUSDT,1755522000000,0,train,control,,1.0738126576188838,0,2.255136168179648,0,0.08623853211008936,0,-0.09910286121220566,13,0.03385241866419147,5e-05,0.5,-1
c_4544,PENGUUSDT,1760914800000,0,train,control,,0.48458455319935256,0,0.0,0,0.39613526570048935,0,-0.11357626955830352,23,-0.023757390924541395,-4.576e-05,0.5,1
c_4545,PENGUUSDT,1761958800000,0,test,control,,0.6179123611352703,0,1.0756861657887427,0,0.04029304029304262,0,-0.10030747310670875,1,0.013456820291388404,-0.0001713,0.5,0
c_4546,PENGUUSDT,1766840400000,0,test,control,,1.1310146745369944,1,0.9084865942831872,1,0.19298245614036208,0,0.09376624939886495,13,-0.013958595431576126,3.936e-05,0.5,-1
c_4547,PENGUUSDT,1771740000000,0,test,control,,0.5371229468703005,0,-1.416555998229301,0,0.21951219512194142,0,-0.0005214544004088199,6,-0.010378440856701535,-3.366e-05,0.5,0
c_4548,PENGUUSDT,1776110400000,0,test,control,,4.5295643816999105,2,3.963553530751708,0,0.07916666666666641,0,0.14038651655529455,20,0.009859793095295952,5e-05,0.5,1
c_4549,PENGUUSDT,1779836400000,0,test,control,,0.42285039399583974,0,-0.609184629803186,0,0.38805970149254077,0,-0.09346924030012475,23,-0.018178358841494883,-0.00016027,0.03225364771403836,-1
