run_ts,symbol,setup,score,grade,pump_score,direction,price_entry,funding,oi_24h_pct,outcome_4h,outcome_24h,change_4h_pct,change_24h_pct
2026-04-13T14:59:38,BASEDUSDT,breakout,129,—,129,ЛОНГ,0.0679,-0.020176,1.5371381365655763,LOSS,WIN,-4.86,3.83
2026-04-13T14:59:38,ENJUSDT,breakout,128,—,128,ЛОНГ,0.048815,-2.5,3.3277120191046103,LOSS,TP1,-7.93,18.83
2026-04-13T14:59:38,BTCUSDT,breakout,128,—,128,ЛОНГ,72017.36,-0.004537,-1.3917307870483109,TP1,TP1,1.66,2.83
2026-04-13T14:59:38,BNBUSDT,bos_fvg,128,—,88,ШОРТ,601.76,0.008946,-2.753993007240829,STOP,STOP,1.05,1.95
2026-04-13T14:59:38,ONDOUSDT,bos_fvg,126,—,54,ШОРТ,0.253,0.005,-3.944288880044982,WIN,WIN,-1.23,-1.26
2026-04-13T14:59:38,GALAUSDT,bos_fvg,126,—,93,ШОРТ,0.00295,-0.007428,2.4668348128103914,WIN,WIN,-0.54,-0.75
2026-04-13T14:59:38,DASHUSDT,bos_fvg,124,—,48,ШОРТ,41.41,0.01,1.9972875861292243,TP1,TP1,-3.14,-7.75
2026-04-13T14:59:38,PUMPFUNUSDT,breakout,124,—,124,ЛОНГ,0.0018254,0.005,-4.486411921116992,WIN,FLAT,0.73,-0.29
2026-04-13T14:59:38,AVAXUSDT,bos_fvg,123,—,90,ЖДАТЬ,9.263,0.008648,-0.7345322389633332,TP1,TP1,0.31,0.56
2026-04-13T14:59:38,WIFUSDT,bos_fvg,123,—,87,ШОРТ,0.18826,0.005,-7.880172188060748,FLAT,LOSS,0.47,1.45
2026-04-13T14:59:38,LINKUSDT,bos_fvg,122,—,76,ЖДАТЬ,8.859,0.002363,-1.0945965423828032,STOP,STOP,1.4,1.51
2026-04-13T14:59:38,JTOUSDT,breakout,121,—,121,ЛОНГ,0.3286,-0.06629700000000001,7.726566864843348,LOSS,STOP,-2.43,-6.66
2026-04-13T14:59:38,XAUTUSDT,bos_fvg,120,—,57,ШОРТ,4683.14,0.005,3.9060701923173617,LOSS,STOP,0.58,2.71
2026-04-13T14:59:38,WLFIUSDT,bos_fvg,119,—,31,ШОРТ,0.0796,0.005,-4.680150683333928,FLAT,FLAT,0.15,0.45
2026-04-13T14:59:38,CLUSDT,bos_fvg,117,—,79,ЛОНГ,96.115,0.0,-15.00272249992443,STOP,STOP,-3.34,-7.86
2026-04-13T14:59:38,TRXUSDT,bos_fvg,117,—,50,ЛОНГ,0.31974,-0.002316,3.6746925069045178,FLAT,TP1,0.23,1.12
2026-04-13T14:59:38,BEATUSDT,bos_fvg,115,—,61,ЛОНГ,0.38084,0.016644000000000003,1.9608992709593214,WIN,LOSS,1.45,-6.22
2026-04-13T14:59:38,APTUSDT,bos_fvg,114,—,87,ШОРТ,0.8389,-0.030861000000000003,1.9887761237341688,LOSS,STOP,1.06,1.68
2026-04-13T14:59:38,HBARUSDT,bos_fvg,114,—,57,ШОРТ,0.08593,-0.006043000000000001,3.3370570220951317,FLAT,TP1,-0.35,-1.37
2026-04-13T14:59:38,SUIUSDT,bos_fvg,112,—,94,ШОРТ,0.917,0.01,-0.5565880061947038,STOP,LOSS,1.47,1.25
2026-04-13T14:59:38,XAUUSDT,bos_fvg,111,—,55,ШОРТ,4714.74,0.0,-9.883065009068886,LOSS,STOP,0.61,2.63
