pump_id,date,start_ms,symbol,pct_chg,pump_type,split,liq_sweep,macro_extreme,stablecoin_inflow,news_signal,token_unlock,liq_note,news_note,catalysts,confidence
159,2024-12-30 21:00:00+00:00,1735592400000,DRIFTUSDT,21.2738,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
160,2025-02-03 01:00:00+00:00,1738544400000,DRIFTUSDT,24.758,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
161,2025-03-04 01:00:00+00:00,1741050000000,DRIFTUSDT,18.0516,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
162,2025-03-14 18:00:00+00:00,1741975200000,DRIFTUSDT,19.8102,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
163,2025-03-16 23:00:00+00:00,1742166000000,DRIFTUSDT,25.6912,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
164,2025-04-29 22:00:00+00:00,1745964000000,DRIFTUSDT,39.6001,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
165,2025-05-07 05:00:00+00:00,1746594000000,DRIFTUSDT,20.2478,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
166,2025-06-28 08:00:00+00:00,1751097600000,DRIFTUSDT,16.6308,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
167,2025-07-20 12:00:00+00:00,1753012800000,DRIFTUSDT,45.3857,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
168,2025-08-27 02:00:00+00:00,1756260000000,DRIFTUSDT,27.9315,main,train,0,0,1,0,0,no_coverage,no_coverage,stablecoin_inflow,LOW
169,2025-09-12 03:00:00+00:00,1757646000000,DRIFTUSDT,15.8883,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
170,2025-09-17 17:00:00+00:00,1758128400000,DRIFTUSDT,45.3915,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
171,2025-09-24 03:00:00+00:00,1758682800000,DRIFTUSDT,19.5909,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
172,2025-09-26 15:00:00+00:00,1758898800000,DRIFTUSDT,22.4173,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
173,2025-09-30 12:00:00+00:00,1759233600000,DRIFTUSDT,21.1031,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
174,2026-01-13 05:00:00+00:00,1768280400000,DRIFTUSDT,16.3506,main,test,0,0,0,0,0,no_coverage,no_coverage,none,NONE
175,2026-01-25 23:00:00+00:00,1769382000000,DRIFTUSDT,15.5853,main,test,0,0,0,0,0,no_coverage,no_coverage,none,NONE
176,2026-02-06 08:00:00+00:00,1770364800000,DRIFTUSDT,17.3859,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
177,2026-04-02 04:00:00+00:00,1775102400000,DRIFTUSDT,42.5701,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
178,2026-04-03 03:00:00+00:00,1775185200000,DRIFTUSDT,16.7699,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
179,2026-04-04 15:00:00+00:00,1775314800000,DRIFTUSDT,41.0006,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
180,2026-04-06 08:00:00+00:00,1775462400000,DRIFTUSDT,17.8607,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
181,2026-04-07 17:00:00+00:00,1775581200000,DRIFTUSDT,66.9138,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
182,2026-04-12 12:00:00+00:00,1775995200000,DRIFTUSDT,42.6887,main,test,0,1,0,1,0,no_coverage,checked,macro_extreme|news_signal,MEDIUM
183,2026-04-13 18:00:00+00:00,1776103200000,DRIFTUSDT,23.2887,main,test,0,1,0,1,0,no_coverage,checked,macro_extreme|news_signal,MEDIUM
184,2026-04-15 15:00:00+00:00,1776265200000,DRIFTUSDT,32.6253,main,test,0,1,0,0,0,checked,checked,macro_extreme,LOW
185,2026-04-30 13:00:00+00:00,1777554000000,DRIFTUSDT,43.0525,main,test,0,0,0,0,0,checked,checked,none,NONE
186,2026-05-25 07:00:00+00:00,1779692400000,DRIFTUSDT,41.713,main,test,0,0,0,0,0,checked,checked,none,NONE
187,2024-12-05 23:00:00+00:00,1733439600000,DRIFTUSDT,18.5222,fast,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
188,2025-04-29 23:00:00+00:00,1745967600000,DRIFTUSDT,21.1937,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
