run_ts,symbol,setup,score,grade,pump_score,direction,price_entry,stop,tp1,tp2,funding,oi_24h_pct,mtf_bull,mtf_bear,rsi_1h,cvd_kline,cvd_trade,ema_bull_1h,ema_bull_4h,choch_bull_1h,vwap_dev,rs_btc,resolve_4h_ts,price_4h,change_4h_pct,hit_tp1_4h,hit_stop_4h,outcome_4h,resolve_24h_ts,price_24h,change_24h_pct,hit_tp1_24h,hit_stop_24h,outcome_24h
2026-04-12T09:56:48,ASTERUSDT,squeeze,96,—,60,ЛОНГ,0.6654,0.65665664,0.67268613,0.67754355,0.005,-1.2099843177384726,5,5,23.94,22.1,24.0,0,0,0,-0.84,0.3,2026-04-13T14:57:08,0.6623,-0.47,0,0,FLAT,2026-04-13T14:57:09,0.6623,-0.47,0,0,FLAT
2026-04-12T09:56:48,RIVERUSDT,bos_fvg,95,—,31,ШОРТ,8.744,9.09498416,8.4515132,8.256522,0.13092399999999998,1.3344213847560136,0,3,52.94,-37.2,47.5,0,0,0,-0.33,-1.63,2026-04-13T14:57:10,7.676,-12.21,1,0,TP1,2026-04-13T14:57:11,7.674,-12.24,1,0,TP1
2026-04-12T09:56:48,ZECUSDT,bos_fvg,94,—,92,ЛОНГ,367.62,356.701686,376.718595,382.784325,0.01,-7.185607266560089,3,2,39.01,-12.2,-76.0,1,1,0,-0.52,1.78,2026-04-13T14:57:11,360.01,-2.07,0,0,LOSS,2026-04-13T14:57:12,360.04,-2.06,0,0,LOSS
2026-04-12T09:56:48,FARTCOINUSDT,bos_fvg,94,—,68,ЛОНГ,0.19308,0.18355729,0.20101559,0.20630598,0.005,-5.5734927519584545,5,1,43.58,6.9,4.6,0,1,0,-2.31,-0.5,2026-04-13T14:57:13,0.18741,-2.94,0,0,LOSS,2026-04-13T14:57:14,0.18741,-2.94,0,0,LOSS
2026-04-12T09:56:48,DOGEUSDT,squeeze,92,—,55,ЛОНГ,0.09113,0.08975211,0.09227824,0.09304373,-0.016363,1.2521706804481965,3,5,26.15,-31.7,-24.2,0,0,0,-1.53,1.0,2026-04-13T14:57:14,0.09209,1.05,0,0,WIN,2026-04-13T14:57:15,0.09211,1.08,0,0,WIN
2026-04-12T09:56:48,AAVEUSDT,squeeze,92,—,41,ЛОНГ,89.78,87.5498648,91.638446,92.87741,-0.029406,3.0541957462772604,0,5,21.78,-23.2,19.2,0,0,0,-3.03,1.24,2026-04-13T14:57:16,94.93,5.74,1,0,TP1,2026-04-13T14:57:17,94.96,5.77,1,0,TP1
2026-04-12T09:56:48,AVAXUSDT,squeeze,90,—,58,ЛОНГ,9.012,8.83842888,9.1566426,9.253071,-0.015782,-0.43529800834568183,0,5,20.26,-26.9,0.3,0,0,0,-2.85,1.55,2026-04-13T14:57:18,9.269,2.85,1,0,TP1,2026-04-13T14:57:18,9.269,2.85,1,0,TP1
2026-04-12T09:56:48,TRUMPUSDT,bos_fvg,89,—,50,ШОРТ,2.79,2.8422288,2.746476,2.71746,-0.14262999999999998,9.660707198621697,0,5,39.52,17.7,-25.4,0,0,0,-0.67,0.31,2026-04-13T14:57:20,2.818,1.0,0,0,LOSS,2026-04-13T14:57:20,2.818,1.0,0,0,LOSS
2026-04-12T09:56:48,OPUSDT,breakout,87,—,87,ЛОНГ,0.10815,0.10558036,0.11029137,0.11171895,0.002045,-1.0087979741826703,0,5,17.93,-19.5,24.1,0,0,0,-3.42,2.1,2026-04-13T14:57:21,0.10908,0.86,0,0,WIN,2026-04-13T14:57:22,0.10908,0.86,0,0,WIN
2026-04-12T09:56:48,XPLUSDT,breakout,86,—,86,ЛОНГ,0.12867,0.12452425,0.13212479,0.13442798,-0.009011,-1.0360358859656447,1,4,25.54,10.9,45.1,0,0,0,-2.85,0.99,2026-04-13T14:57:23,0.12852,-0.12,0,0,FLAT,2026-04-13T14:57:23,0.12852,-0.12,0,0,FLAT
2026-04-12T09:56:48,LINKUSDT,squeeze,85,—,45,ЛОНГ,8.78,8.6361836,8.899847,8.979745,-0.007899,-0.509692556332254,1,5,20.21,-11.2,-20.6,0,0,0,-2.45,1.44,2026-04-13T14:57:24,8.862,0.93,0,0,WIN,2026-04-13T14:57:25,8.861,0.92,0,0,WIN
2026-04-12T09:56:48,XRPUSDT,squeeze,84,—,36,ЛОНГ,1.3292,1.31293059,1.34275784,1.3517964,-0.016916,1.2247800869151662,1,5,23.17,-11.6,-42.5,0,0,0,-1.28,0.71,2026-04-13T14:57:26,1.3413,0.91,0,0,WIN,2026-04-13T14:57:27,1.3414,0.92,0,0,WIN
2026-04-12T09:56:48,AKEUSDT,squeeze,84,—,49,ЛОНГ,0.0005282,0.00044396,0.0005984,0.0006452,0.069608,-15.769806834149128,3,0,56.55,0.6,-14.1,1,1,0,-1.19,-1.69,2026-04-13T14:57:27,0.000553,4.7,0,0,WIN,2026-04-13T14:57:28,0.000553,4.7,0,0,WIN
2026-04-12T09:56:48,RENDERUSDT,breakout,83,—,83,ЛОНГ,1.8946,1.84139963,1.93893364,1.9684894,-0.004308,-6.83480496657335,2,5,5.63,-24.7,63.7,0,0,0,-4.94,3.19,2026-04-13T14:57:29,1.9025,0.42,0,0,FLAT,2026-04-13T14:57:30,1.9026,0.42,0,0,FLAT
2026-04-12T09:56:48,WIFUSDT,bos_fvg,80,—,71,ШОРТ,0.1893,0.19410443,0.1852963,0.18262718,0.005,3.609745234714222,3,5,27.33,-14.1,-35.6,0,0,0,-3.44,1.66,2026-04-13T14:57:30,0.18822,-0.57,0,0,WIN,2026-04-13T14:57:31,0.18823,-0.57,0,0,WIN
